Codename,Title,Actively Bug-Fixed by,Actively Maintained by,Notes,Non-bundled addon,Testing automation
multi_lang_content,Content translations,Composr Core Development Team,,Not regularly tested. Liable to break due to cross-cutting complexity.,No,Randomised mode at dev install. Partly tested by running of full test set.
character_sets,Character sets,,,Not regularly tested.,No,
db_connection_pooling_with_replication,Configuration of multiple database servers (with only one taking write queries),,,Not regularly tested.,No,
readonly_db,Stability when the database is read-only (if a webhost has locked out write access due to quota issues),,,Not regularly tested.,No,
forum_ipb,Invision Board forum driver,,,Not regularly tested. Out-dated. Needs ongoing maintenance.,No,Partly tested by running of full test set
forum_mybb,MyBB forum driver,,,Not regularly tested. May become out-dated. Needs ongoing maintenance.,No,Partly tested by running of full test set
forum_none,No forums or members forum driver,,,Not regularly tested. Liable to break due to cross-cutting complexity.,No,Partly tested by running of full test set
forum_phpbb,phpBB forum driver,,,Not regularly tested. May become out-dated. Needs ongoing maintenance.,No,Partly tested by running of full test set
forum_smf,Simple Machine Forum forum driver,,,Not regularly tested. Out-dated. Needs ongoing maintenance.,No,Partly tested by running of full test set
forum_vb,vBulletin forum driver,,,Not regularly tested. Out-dated. Needs ongoing maintenance.,No,Partly tested by running of full test set
forum_wbb,Burning Board forum driver,,,Not regularly tested. Out-dated. Needs ongoing maintenance.,No,Partly tested by running of full test set
msn,Multi-site-networks,,,Not regularly tested. Liable to break due to cross-cutting complexity.,No,"Partly tested by sync_tests/db_correctness automated test, and run-time driver use detection. Partly tested by running of full test set."
database_ibm,IBM DB2 database driver,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,Partly tested by async_tests/database_misc automated test. Partly tested by running of full test set.
database_oracle,Oracle database driver,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,Partly tested by async_tests/database_misc automated test. Partly tested by running of full test set.
database_postgresql,PostgreSQL database driver,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,Partly tested by async_tests/database_misc automated test. Partly tested by running of full test set.
database_sqlserver,Microsoft SQL server database driver,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,Partly tested by async_tests/database_misc automated test. Partly tested by running of full test set.
database_xml,XML database driver,Composr Core Development Team,,Intended for developers only. Does not currently work on Windows due to patch length limitations.,No,Partly tested by cli_tests/_installer_xml_db automated test. Partly tested by running of full test set.
platform_gae,Google App Engine platform support,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,
platform_peachpie,Peach Pie platform support,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,
platform_chmod,Non-suEXEC platform support,Composr Core Development Team,,"Not regularly tested. Likely to be very un-friendly to the admin, so should be discouraged.",No,
platform_iis,IIS,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,
platform_litespeed,LiteSpeed,,,Not regularly tested due to needing a testing platform. Could potentially break due to third-party changes.,No,
platform_apache,Apache,Composr Core Development Team,Composr Core Development Team,,No,
platform_nginx,NGINX,"PDStig, LLC","PDStig, LLC",Not regularly tested. Only intended to work with Apache as a back-end and the NGINX static cache disabled.,No,
platform_cpanel,cPanel Control Panel,,,Not regularly tested. Can make changes to site behaviour which disrupt functionality.,No,
platform_plesk,Plesk Control Panel,"PDStig, LLC","PDStig, LLC",Not regularly tested. Can make changes to site behaviour which disrupt functionality.,No,
import_cms_merge,"""Composr site merger"" importer",Composr Core Development Team,,"Not regularly tested. Site merging is not a substitute for upgrading.",No,
import_html_site,HTML website importer,,,Not regularly tested and has the potential for instability.,No,
import_ipb,Invision Board importer,,,"Needs ongoing maintenance, and liable to be ineffective as people need plugin data importing too.",No,
import_mybb,myBB importer,,,"Needs ongoing maintenance, and liable to be ineffective as people need plugin data importing too.",No,
